"slot","panel","date","time","panel_title","chairs","discussants","section","title","presenter","coauthor","presenter_affiliation"
"Di D","03","24.09.2024","14:00-15:30 Uhr","Crises and Theories of the Policy Process","Sandra Plümer, Universität Bielefeld; Johanna Künzler, Deutsche Universität für Verwaltungswissenschaften Speyer","Johanna Hornung, Universität Bern","Policy-Analyse und Verwaltungswissenschaft; Vergleichende Politikwissenschaft","How to succeed in the sustainable transport transition: The German National Cycling Plan as pr","Ilana Schröder",NA,"Technische Universität Braunschweig"
"Di D","03","24.09.2024","14:00-15:30 Uhr","Crises and Theories of the Policy Process","Sandra Plümer, Universität Bielefeld; Johanna Künzler, Deutsche Universität für Verwaltungswissenschaften Speyer","Johanna Hornung, Universität Bern","Policy-Analyse und Verwaltungswissenschaft; Vergleichende Politikwissenschaft","How to succeed in the sustainable transport transition: The German National Cycling Plan as pr","Nils C. Bandelow",NA,"Technische Universität Braunschweig"
"Di D","03","24.09.2024","14:00-15:30 Uhr","Crises and Theories of the Policy Process","Sandra Plümer, Universität Bielefeld; Johanna Künzler, Deutsche Universität für Verwaltungswissenschaften Speyer","Johanna Hornung, Universität Bern","Policy-Analyse und Verwaltungswissenschaft; Vergleichende Politikwissenschaft","OECD at a Critical Juncture? Health Policy Change from Efficie","Sooahn Meier",NA,"Universität Bremen"
"Di D","03","24.09.2024","14:00-15:30 Uhr","Crises and Theories of the Policy Process","Sandra Plümer, Universität Bielefeld; Johanna Künzler, Deutsche Universität für Verwaltungswissenschaften Speyer","Johanna Hornung, Universität Bern","Policy-Analyse und Verwaltungswissenschaft; Vergleichende Politikwissenschaft","Polycrisis and Economi","Thomas Rixen",NA,"Friedrich-Schiller-Universität Jena"
"Di D","04","24.09.2024","14:00-15:30 Uhr","Crisis, Contestation, and Resilience of Liberal Democracies Around the World","Michael Zürn, Wissenschaftszentrum Berlin für Sozialforschung (WZB)","Armin Schäfer, Johannes-Gutenberg-Universität Mainz","Internationale Beziehungen; Vergleichende Politikwissenschaft; Demokratieforschung","Contestations: Types, Tensions, and Crises (Ko-Autor*innen: Stefan Gosepath, Nieves Fernández Rodriguez, Max","Lena Röllicke",NA,"Wissenschaftszentrum Berlin für Sozialforschung (WZB) / SCRIPTS"
"Di D","04","24.09.2024","14:00-15:30 Uhr","Crisis, Contestation, and Resilience of Liberal Democracies Around the World","Michael Zürn, Wissenschaftszentrum Berlin für Sozialforschung (WZB)","Armin Schäfer, Johannes-Gutenberg-Universität Mainz","Internationale Beziehungen; Vergleichende Politikwissenschaft; Demokratieforschung","Contestations: Types, Tensions, and Crises (Ko-Autor*innen: Stefan Gosepath, Nieves Fernández Rodriguez, Max","Michael Zürn",NA,"Wissenschaftszentrum Berlin für Sozialforschung (WZB)"
"Di D","04","24.09.2024","14:00-15:30 Uhr","Crisis, Contestation, and Resilience of Liberal Democracies Around the World","Michael Zürn, Wissenschaftszentrum Berlin für Sozialforschung (WZB)","Armin Schäfer, Johannes-Gutenberg-Universität Mainz","Internationale Beziehungen; Vergleichende Politikwissenschaft; Demokratieforschung","Democratic Resilience: Types, Sources, and Outcomes ","Tanja Börzel","Nicole Bolleyer","Freie Universität Berlin / SCRIPTS"
"Di D","04","24.09.2024","14:00-15:30 Uhr","Crisis, Contestation, and Resilience of Liberal Democracies Around the World","Michael Zürn, Wissenschaftszentrum Berlin für Sozialforschung (WZB)","Armin Schäfer, Johannes-Gutenberg-Universität Mainz","Internationale Beziehungen; Vergleichende Politikwissenschaft; Demokratieforschung","The Two Faces of Contestation: The Case of Liberal In","Nicole Deitelhoff",NA,"Goethe-Universität Frankfurt / Peace Research Institute Frankfurt (PRIF)"
"Di D","05","24.09.2024","14:00-15:30 Uhr","Democratic Membership in Times of Crisis: The Double Challenge of Broadening and Deepening Modern Citizenship","Eva-Maria Schäfferle, Goethe-Universität Frankfurt; Sven Altenburger, Goethe-Universität Frankfurt","Anna Meine, Universität Siegen","Politische Theorie und Ideengeschichte; Demokratieforschung; Migrationspolitik","Boundaries of citizenship: towards a polyce","Sandra Seubert",NA,"Goethe-Universität Frankfurt"
"Di D","05","24.09.2024","14:00-15:30 Uhr","Democratic Membership in Times of Crisis: The Double Challenge of Broadening and Deepening Modern Citizenship","Eva-Maria Schäfferle, Goethe-Universität Frankfurt; Sven Altenburger, Goethe-Universität Frankfurt","Anna Meine, Universität Siegen","Politische Theorie und Ideengeschichte; Demokratieforschung; Migrationspolitik","De-Nationalizing the Demos, Re-Nationalizing the Nation: A proposal to untie the knot between national citizenship and","Eva-Maria Schäfferle",NA,"Goethe-Universität Frankfurt"
"Di D","05","24.09.2024","14:00-15:30 Uhr","Democratic Membership in Times of Crisis: The Double Challenge of Broadening and Deepening Modern Citizenship","Eva-Maria Schäfferle, Goethe-Universität Frankfurt; Sven Altenburger, Goethe-Universität Frankfurt","Anna Meine, Universität Siegen","Politische Theorie und Ideengeschichte; Demokratieforschung; Migrationspolitik","Migration and climate change: Extending the spatial and temporal boundari","Rainer Bauböck",NA,"European University Institute"
"Di D","05","24.09.2024","14:00-15:30 Uhr","Democratic Membership in Times of Crisis: The Double Challenge of Broadening and Deepening Modern Citizenship","Eva-Maria Schäfferle, Goethe-Universität Frankfurt; Sven Altenburger, Goethe-Universität Frankfurt","Anna Meine, Universität Siegen","Politische Theorie und Ideengeschichte; Demokratieforschung; Migrationspolitik","Transforming citizenship in light of the polycrisis? ","Sven Altenburger",NA,"Goethe-Universität Frankfurt"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Demokratiebildung und politische Bildung in den Handlungsfeldern der Kinder-","Helle Becker",NA,"Transfer für Bildung e.V."
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Digitale Demokratie unter Druck – Serious Games zur Förderung der politische","Monika Oberle",NA,"Georg-August-Universität Göttingen"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Digitale Demokratie unter Druck – Serious Games zur Förderung der politische","Johanna Leunig",NA,"Georg-August-Universität Göttingen"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Digitale Demokratie unter Druck – Serious Games zur Förderung der politische","Valeriia Hulkovych",NA,"Georg-August-Universität Göttingen"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Förderung der Demokratiebildung an Schulen – Eine Evaluationsstudie zur demokratischen Schul- und Unterrichtsentwicklung","Frank Reichert",NA,"The University of Hong Kong"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Förderung der Demokratiebildung an Schulen – Eine Evaluationsstudie zur demokratischen Schul- und Unterrichtsentwicklung","Bastian Vajen",NA,"Leibniz Universität Hannover"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Förderung der Demokratiebildung an Schulen – Eine Evaluationsstudie zur demokratischen Schul- und Unterrichtsentwicklung","Elizaveta Firsova-Eckert",NA,"Leibniz Universität Hannover"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Gebundene Balance: Schulische Demokratiebildung zwischen Werteorientierung und Kontroversität ","Marcus Kindlinger","Katrin Hahn-Laudenberg","Universität Leipzig"
"Di D","06","24.09.2024","14:00-15:30 Uhr","Demokratiebildung – Potenziale, Grenzen, Perspektiven","Frank Reichert, The University of Hong Kong; Bastian Vajen, Leibniz Universität Hannover","Elizaveta Firsova-Eckert, Leibniz Universität Hannover","Politikwissenschaft und Politische Bildung","Politische Sozialisation unter den Bedingungen multipler Krisen: Ergebnisse der International Civic and Citizenship Education Study (ICCS 2022) ","Herman Josef Abs","Johanna Ziemes","Universität Duisburg-Essen"
"Di D","07","24.09.2024","14:00-15:30 Uhr","Demokratiewandel durch digitale Technologien in der Polykrise","Lena Ulbricht, Hochschule für Politik München, TUM; Ann-Kathrin Koster, Weizenbaum-Institut für die vernetzte Gesellschaft; Sebastian Berg, Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg","","Politische Theorie und Ideengeschichte; Digitalisierung und Politik; Demokratieforschung","Ausgeblendete Perspektiven: Über politische Ontologie(n) des digital-demok","Hagen Schölzel",NA,"Hochschule für Politik an der Technischen Universität München"
"Di D","07","24.09.2024","14:00-15:30 Uhr","Demokratiewandel durch digitale Technologien in der Polykrise","Lena Ulbricht, Hochschule für Politik München, TUM; Ann-Kathrin Koster, Weizenbaum-Institut für die vernetzte Gesellschaft; Sebastian Berg, Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg","","Politische Theorie und Ideengeschichte; Digitalisierung und Politik; Demokratieforschung","Ausgeblendete Perspektiven: Über politische Ontologie(n) des digital-demok","Lorina Buhr",NA,"Utrecht University"
"Di D","07","24.09.2024","14:00-15:30 Uhr","Demokratiewandel durch digitale Technologien in der Polykrise","Lena Ulbricht, Hochschule für Politik München, TUM; Ann-Kathrin Koster, Weizenbaum-Institut für die vernetzte Gesellschaft; Sebastian Berg, Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg","","Politische Theorie und Ideengeschichte; Digitalisierung und Politik; Demokratieforschung","Die Wirklichkeit des Politischen. Zum Stellenwert des Wissens ","Ann-Kathrin Koster",NA,"Weizenbaum-Institut für die vernetzte Gesellschaft"
"Di D","07","24.09.2024","14:00-15:30 Uhr","Demokratiewandel durch digitale Technologien in der Polykrise","Lena Ulbricht, Hochschule für Politik München, TUM; Ann-Kathrin Koster, Weizenbaum-Institut für die vernetzte Gesellschaft; Sebastian Berg, Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg","","Politische Theorie und Ideengeschichte; Digitalisierung und Politik; Demokratieforschung","Party on the Digital Ground? Changing membership concepts in the digital Post-","Jasmin Fitzpatrick",NA,"Johannes Gutenberg-Universität Mainz"
"Di D","07","24.09.2024","14:00-15:30 Uhr","Demokratiewandel durch digitale Technologien in der Polykrise","Lena Ulbricht, Hochschule für Politik München, TUM; Ann-Kathrin Koster, Weizenbaum-Institut für die vernetzte Gesellschaft; Sebastian Berg, Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg","","Politische Theorie und Ideengeschichte; Digitalisierung und Politik; Demokratieforschung","Vom Hype-Begriff zum demokratietheoretischen Konzept: digitale Technologien als spezifische Formen von Wissen und Koordination in demokratisc","Lena Ulbricht",NA,"Hochschule für Politik an der Technischen Universität München"
"Di D","08","24.09.2024","14:00-15:30 Uhr","Die Energietransformation als Herausforderung und Chance für den ländlichen Raum","Julia Zilles, Soziologisches Forschungsinstitut Göttingen (SOFI) e.V.","Stine Marg, Georg-August-Universität Göttingen","Policy-Analyse und Verwaltungswissenschaft; Energietransformation","Beteiligung unter Zeitdruck – Gesellschaftliche Konfliktbewältigung im reformierten Planungsverfahren zu","Eva Ruffing",NA,"Universität Osnabrück"
"Di D","08","24.09.2024","14:00-15:30 Uhr","Die Energietransformation als Herausforderung und Chance für den ländlichen Raum","Julia Zilles, Soziologisches Forschungsinstitut Göttingen (SOFI) e.V.","Stine Marg, Georg-August-Universität Göttingen","Policy-Analyse und Verwaltungswissenschaft; Energietransformation","Beteiligung unter Zeitdruck – Gesellschaftliche Konfliktbewältigung im reformierten Planungsverfahren zu","Viktoria Brendler",NA,"Universität Osnabrück"
"Di D","08","24.09.2024","14:00-15:30 Uhr","Die Energietransformation als Herausforderung und Chance für den ländlichen Raum","Julia Zilles, Soziologisches Forschungsinstitut Göttingen (SOFI) e.V.","Stine Marg, Georg-August-Universität Göttingen","Policy-Analyse und Verwaltungswissenschaft; Energietransformation","Der Einfluss der politischen Kultur auf die Rolle zivilgesellschaftlicher Akteure im Transformationsprozess ","Neneh Braum","Paula Bögel","Universität Vechta"
"Di D","08","24.09.2024","14:00-15:30 Uhr","Die Energietransformation als Herausforderung und Chance für den ländlichen Raum","Julia Zilles, Soziologisches Forschungsinstitut Göttingen (SOFI) e.V.","Stine Marg, Georg-August-Universität Göttingen","Policy-Analyse und Verwaltungswissenschaft; Energietransformation","Neue Energie(n) für die Wende. Bürgerenergie zwischen Potenzial","Emily Drewing",NA,"Forschungsinstitut für Nachhaltigkeit - Helmholtz-Zentrum Potsdam"
"Di D","08","24.09.2024","14:00-15:30 Uhr","Die Energietransformation als Herausforderung und Chance für den ländlichen Raum","Julia Zilles, Soziologisches Forschungsinstitut Göttingen (SOFI) e.V.","Stine Marg, Georg-August-Universität Göttingen","Policy-Analyse und Verwaltungswissenschaft; Energietransformation","Rural Echoes: Eine Zwischenbilanz","Nina Kerker",NA,"Soziologisches Forschungsinstitut Göttingen (SOFI) e.V."
"Di D","09","24.09.2024","14:00-15:30 Uhr","Disruptive Politik – theoretische und empirische Analysen","Michael Koß, Leuphana Universität Lüneburg","Astrid Séville, Technische Universität München","Politische Theorie und Ideengeschichte; Vergleichende Politikwissenschaft; Internationale Beziehungen","Deliberation for change: Transformation durch Disruption, aber wie? (Ko-Autor*innen: Carolin","Lena Siepker",NA,"Universität Münster"
"Di D","09","24.09.2024","14:00-15:30 Uhr","Disruptive Politik – theoretische und empirische Analysen","Michael Koß, Leuphana Universität Lüneburg","Astrid Séville, Technische Universität München","Politische Theorie und Ideengeschichte; Vergleichende Politikwissenschaft; Internationale Beziehungen","Disruptive Politik im postdemokratis","Lucas von Ramin",NA,"Technische Universität Dresden"
"Di D","09","24.09.2024","14:00-15:30 Uhr","Disruptive Politik – theoretische und empirische Analysen","Michael Koß, Leuphana Universität Lüneburg","Astrid Séville, Technische Universität München","Politische Theorie und Ideengeschichte; Vergleichende Politikwissenschaft; Internationale Beziehungen","Disruptive Strategien als Wahlkampftaktik? Aufarbeitung des Social-Media-Wahlkampfes zur Bu","Daniel Ruttloff",NA,"Philipps-Universität Marburg"
"Di D","09","24.09.2024","14:00-15:30 Uhr","Disruptive Politik – theoretische und empirische Analysen","Michael Koß, Leuphana Universität Lüneburg","Astrid Séville, Technische Universität München","Politische Theorie und Ideengeschichte; Vergleichende Politikwissenschaft; Internationale Beziehungen","Polykrise und EU: Momentum","Domenica Dreyer-Plum",NA,"Universität Bonn"
"Di D","09","24.09.2024","14:00-15:30 Uhr","Disruptive Politik – theoretische und empirische Analysen","Michael Koß, Leuphana Universität Lüneburg","Astrid Séville, Technische Universität München","Politische Theorie und Ideengeschichte; Vergleichende Politikwissenschaft; Internationale Beziehungen","Unternehmerischer Staat in der Polykrise: Möglichkeiten und Grenzen disruptiver I","Alexander Ebner",NA,"Goethe-Universität Frankfurt"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung",NA,NA,NA,NA
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Direktwahl der Ministerpräsidenten. Ein Reformvorschlag zum flexibleren Regieren in den Lä","Mahir Tokatl?",NA,"Institut für Politische Wissenschaft"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Direktwahl der Ministerpräsidenten. Ein Reformvorschlag zum flexibleren Regieren in den Lä","RWTH-Aachen University",NA,NA
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Inklusive Verfahren der Koalitionsbildung: ein empirischer Trend zur Stärkung der repräsentativen Demokratie? ","Danny Schindler","Oliver Kannenberg","Institut für Parlamentarismusforschung (Iparl)"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Mehrheitsbildender Wandel auf der Landes-ebene: Prämienwahlsystemen mit Koalitions-bonus als adäqu","Peggy Matauschek",NA,"Technische Universität Chemnitz"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Mehrheitsbildender Wandel auf der Landes-ebene: Prämienwahlsystemen mit Koalitions-bonus als adäqu","Volker Best",NA,"Martin-Luther-Universität Halle-Wittenberg"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Flexible Mehrheitsbildung statt Koalitionskorsett: Neuseelands Modell als Wegweiser","Denise Al-Gaddooa",NA,"Georg-August-Universität Göttingen"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Flexible Mehrheitsbildung statt Koalitionskorsett: Neuseelands Modell als Wegweiser","Christian Stecker",NA,"Technische Universität Darmstadt"
"Di D","10","24.09.2024","14:00-15:30 Uhr","Du musst dein Regierungssystem ändern! Vorschläge zur Reform der deutschen Demokratie","","Volker Best, Martin-Luther-Universität Halle-Wittenberg; Peggy Matauschek, Technische Universität Chemnitz; Christian Stecker, Technische Universität Darmstadt","Regierungssystem und Regieren in der Bundesrepublik Deutschland; Demokratieforschung; Parteienforschung","Zwischen Entfremdeten vermitteln: Staatliche Partizipationsformate zwischen interaktionsbasierter und systemischer Vert","Christian Opitz",NA,"Helmut-Schmidt-Universität/ Universität der Bundeswehr Hamburg"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft",NA,NA,NA,NA
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","A postcolonial approach to the political expression of ","Beatriz Carbone",NA,"Universität des Saarlandes"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Conceptualizing emotion","Georg Wenzelburger",NA,"Universität des Saarlandes"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Does Near Equal Dear? Analysing Citizen Preferences for Regional vs. Central Government (Ko-Autor*innen: Johanna Schnabel,","Lena Masch",NA,"Freie Universität Berlin"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Does Near Equal Dear? Analysing Citizen Preferences for Regional vs. Central Government (Ko-Autor*innen: Johanna Schnabel,","Christoph Nguyen",NA,"Freie Universität Berlin"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Exploring the Role of Emotions in the Narrative","Sonja Blum",NA,"Universität Bielefeld"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Exploring the Role of Emotions in the Narrative","Johanna Kuhlmann",NA,"Universität Bremen"
"Di D","11","24.09.2024","14:00-15:30 Uhr","Emotions in Public Policy","","Sonja Blum, Universität Bielefeld; Georg Wenzelburger, Universität des Saarlandes","Policy-Analyse und Verwaltungswissenschaft","Political empathy: What understanding others means in th","Peter Starke",NA,"University of Southern Denmark"
"Di D","12","24.09.2024","14:00-15:30 Uhr","Europas neue Realitäten: die Auswirkungen des Nahostkonflikts und des Angriffskrieges gegen die Ukraine auf die Europäische Union","Claudia Wiesner, Hochschule Fulda","Michèle Knodt, Technische Universität Darmstadt","Entwicklungstheorie und Entwicklungspolitik; Europa- und Regionalismusforschung; Außen- und Sicherheitspolitik","Demokratie versus Autokratie? Die EU und die","Claudia Wiesner",NA,"Hochschule Fulda"
